"New ID","Period of care end","Placement Type","Reason placement ended","Legal Statuses"
8942435,06/26/2015,"U6","E4A","10/01/14-28/05/15 V2; 28/05/15-25/06/15 L1; 25/06/15-26/06/15 L1"
9095313,10/09/2015,"Q2","E8","09/06/10-11/06/10 L1; 11/06/10-24/06/10 L2; 24/06/10-24/01/12 C1; 24/01/12-09/10/15 C2"
9172871,04/02/2012,"K1","E9","15/12/11-02/04/12 J1"
9172871,08/01/2012,"K1","E9","06/07/12-01/08/12 J3"
9230770,03/12/2013,"Q1","E43","15/06/11-12/03/13 V2"
9263645,08/13/2013,"A4","E11","21/04/09-23/04/09 L1; 23/04/09-08/12/10 C1; 08/12/10-13/08/13 E1"
9276204,11/26/2015,"U6","E4B","27/10/15-26/11/15 V2"
9453609,11/25/2012,"Q2","E4","01/06/11-03/06/11 L1; 03/06/11-09/06/11 L2; 09/06/11-25/11/12 C1"
9737297,12/16/2015,"U6","E44","17/04/14-15/01/15 C1; 15/01/15-16/12/15 E1"
9828099,09/24/2014,"K2","E4","09/07/14-24/09/14 J1"
9828099,03/20/2015,"K2","E8","12/12/14-20/03/15 J1"
9828099,02/21/2017,"H5","E8","09/05/16-26/05/16 J1; 26/05/16-21/02/17 V2"
9836037,06/14/2015,"H5","E8","21/04/15-14/06/15 V2"
10026250,06/06/2016,"U6","E4B","03/10/15-06/06/16 L1"
10127140,03/03/2016,"U3","E43","08/09/11-08/05/12 C1; 08/05/12-03/03/16 E1"
10174664,11/23/2016,"H5","E8","22/01/12-24/01/12 L1; 24/01/12-23/11/16 V2"
10288171,08/06/2014,"Q2","E8","03/06/04-16/03/09 V2; 16/03/09-20/10/09 C1; 20/10/09-06/08/14 C2"
10386869,09/29/2014,"H5","E8","03/09/12-29/09/14 V2"
10445971,03/21/2016,"H5","E8","22/03/13-21/03/16 V2"
10489139,10/15/2012,"Q1","E4","13/04/11-15/10/12 V2"
10778020,06/27/2016,"U6","E4A","23/06/16-27/06/16 L1"
10781708,02/15/2013,"Q2","E4","25/01/13-28/01/13 L1; 28/01/13-15/02/13 V2"
10781708,03/28/2017,"P1","E4A","11/02/16-12/02/16 L1; 12/02/16-22/06/16 V2; 22/06/16-16/12/16 C1; 16/12/16-28/03/17 C2"
10790197,08/14/2013,"A5","E12","28/02/11-01/03/11 L1; 01/03/11-07/12/12 C1; 07/12/12-14/08/13 E1"
10990482,03/29/2016,"H5","E8","17/04/15-12/01/16 J1; 12/01/16-29/03/16 V2"
10990482,07/31/2016,"H5","E8","13/05/16-31/07/16 V2"
11020631,07/30/2013,"K1","E4","02/05/13-30/07/13 J1"
11020631,12/05/2013,"R5","E4","19/11/13-05/12/13 J1"
11020631,11/04/2014,"R5","E8","20/09/14-04/11/14 J1"
11164415,11/21/2014,"U6","E13","06/10/14-21/11/14 V2"
11179795,04/28/2016,"H5","E4B","31/12/15-28/04/16 J1"
11311318,10/24/2012,"P1","E4","26/07/11-29/07/11 L1; 29/07/11-24/10/12 C1"
11351223,11/25/2015,"U6","E8","16/11/15-25/11/15 V2"
11549960,03/27/2015,"Q1","E43","13/01/14-27/03/15 V2"
